Name,Website,School-Type,School-District,District,School-Level,Associated-Incidents,School-Incidents,Incident-Dates,Incident-Descriptions,Supporting-Materials (from Associated-Documents),About-School-Leadership,Positive-Steps,Description-of-Positive-Steps,Positive-Step-Source,Kudos,Have Jewish Student Club,Address,Latitude,Longitude,School-Details-URL,School-Record-ID,School-Specific-URL,Last Modified,Last Modified By,Incident-Table,Incident-Table 2
Garfield High School,https://garfieldhs.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,"6,74,90","Bullying or Harassment, Demonstration or Other Event","2023 -  -  null, 2024 - 01 -  null, 2024 - 04 -  23","Student reported harassment. (No details), Garfield student bullied by another student for being Jewish., Student walk out organized by a teacher-sponsored student group called GHS for Palestine. Past events staged by this groups have included chants of “Fuck the Jews"" and encouraged participants to “not engage with Zionists.” As many Jews identify as Zionists, this can be interpreted as an injunction not to engage with Jews.",,,,,,,,"400 23rd Ave., Seattle, WA 98122",47.6050383,-122.3018514,https://www.stophateinschools.org/school-details?recordId=,recxAwcUeRnDZwdjC,https://www.stophateinschools.org/school-details?recordId=recxAwcUeRnDZwdjC,5/24/2024 3:49pm,Our Team,,
Garrison Middle School,https://www.garrisonmiddleschool.org/,Public,Walla Walla,Walla Walla Public Schools,Middle,62,Bullying or Harassment,2024 - 02 -  28,Students making Heil Hitler salutes and expressing antisemitism toward a Jewish student.,,,,,,,,"906 Chase Ave., Walla Walla, WA 99362",46.0545364,-118.3415522,https://www.stophateinschools.org/school-details?recordId=,rec1zIHU5RkVESjz7,https://www.stophateinschools.org/school-details?recordId=rec1zIHU5RkVESjz7,5/24/2024 3:49pm,Our Team,,
Gateway Middle School,https://www.everettsd.org/gateway,Public,Everett,Everett Public Schools,Middle,29,Bullying or Harassment,2023 - 10 -  12,"Snapchat photograph forwarded to a middle school student depicting a middle schooler from same school making a Nazi salute with the quote: ""These Jewish kids better watch themselves on Halloween.""",,,,,,,,"15404 Silver Firs Dr., Everett, WA 98208",47.8562935,-122.1575894,https://www.stophateinschools.org/school-details?recordId=,recgZKAtC5T3nZVnb,https://www.stophateinschools.org/school-details?recordId=recgZKAtC5T3nZVnb,5/24/2024 3:49pm,Our Team,,
Harrison Preparatory School,https://harrisonprep.cloverpark.k12.wa.us/,Public,Clover Park,Clover Park School District,"Middle,High",28,Bullying or Harassment,2023 - 10 -  6,"A Jewish student was harassed by classmates and told, ""get out of here Jew.""",,,,,,,,"9103 Lakewood Dr SW, Lakewood, WA 98499",47.1750882,-122.5092679,https://www.stophateinschools.org/school-details?recordId=,reca5dmFMoiTPo0KA,https://www.stophateinschools.org/school-details?recordId=reca5dmFMoiTPo0KA,5/24/2024 3:49pm,Our Team,,
Highland Middle School,https://bsd405.org/highland/,Public,Bellevue,Bellevue School District,Middle,"11,27,31,101","Bullying or Harassment, Published Materials (Print or Online)","2023 - 03 -  6, 2023 - 10 -  null, 2023 - 10 -  24, 2024 - 05 -  03","8th grade Jewish student was targeted by classmates who would say “Heil Hitler” and “gas chambers” and do a Nazi salute when she’s around, and other antisemitic vitriol. She didn’t tell anyone for a while, until it got out of hand in the classroom, when one of the kids started talking about the Holocaust to insult the Jewish student; when she talked back, the teacher told them to stop because they were making too much noise. Reported to the school principal on March 6th and to the school district (Nancy Pham) on March 10th., Post October 7th, Palestinian flags hung throughout school hallways, on windows, lockers, boards, class doors, etc. Jewish students reported that being flooded with these images made them feel unsafe. One student taunted a Jewish student and asked if he saw all the flags around the school. 

Other incidents in the October 2023 time frame:

In the presence of a Jewish student, a group of kids loudly discussed being on ""Team Palestine"" and repeated misleading statements and conspiracy theories about Israel.

A group of students drew swastikas on the inside of book covers during a language arts class.

Multiple students repeatedly said ""Bomb Israel"" around a Jewish student and told her she should go back to Israel and die there., A Jewish student was harassed by classmates who shouted, ""Free Palestine"" in the Jewish student's face and called the student a ""bitch"" for being an ""Israel supporter."" Another Jewish student overheard this and has since felt nervous and unsafe at school., In the school's computer lab, the background on at least one computer was set to display multiple images of Adolf Hitler doing a ""seig heil"" salute with swastikas behind him.",2024May3-HighlandMS-PC-Wallpaper.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/EGEIxq5InoCcHfec4CtvbQ/Aljukm9NqEfiuHznzn8Vy1ogjHpMtRIIg1vIsJfPjEt_pGA1Ahb-HOm2HGZ8IudTL4vcUDTBRj38DEou_9krHNoXr6wZbLbKhZMhIS5AJtncOdaSYc55Ly-PwzBN5Ga2HbRJ5ItbUO41-QTkLY3ZScdcAFCPkDr1Grg7eAM6g_mmqPrvIZAWLmb_tyeT8NOx/Ps0tBq1Dg0ghEsOR2QMVaV9-Fnl_JISMNvPnZurVAu0),,,,,,,"15027 NE Bel/Red Road Bellevue, WA 98007",47.6256535,-122.1433116,https://www.stophateinschools.org/school-details?recordId=,recBaf2YeHVP1Qzmx,https://www.stophateinschools.org/school-details?recordId=recBaf2YeHVP1Qzmx,6/5/2024 9:53am,Josh Herst,,
Hilltop Heritage Middle School,https://hh.tacomaschools.org/,Public,,Tacoma Public Schools,Middle,111,Bullying or Harassment,2024 - 06 -  04,A student received an antisemitic text message in a group chat including photos comparing what's happening in Gaza to the Holocaust.,,,,,,,,"602 N. Sprague Ave.
Tacoma WA 98403",47.2567322,-122.4652199,https://www.stophateinschools.org/school-details?recordId=,recGTu6Fz6iacQB71,https://www.stophateinschools.org/school-details?recordId=recGTu6Fz6iacQB71,8/18/2024 9:24pm,Our Team,,
Interlake High School,https://bsd405.org/interlake/,Public,Bellevue,Bellevue School District,High,"43,102","Demonstration or Other Event, Published Materials (Print or Online)","2023 - 11 -  17, 2024 - 06 -  03","Student walkout. Students displayed slogans including “from the river to the sea, Palestine will be free,” and that Israel is committing (and U.S. is funding) ""genocide."" Multiple Jewish people complained to an on-site BSD rep that the slogans were threatening and made them feel unsafe. The rep said the slogans were acceptable., A student in a keffiyeh wore a sweatshirt with “From the river to the sea, Palestine will be free” written in large letters across the back. Note, the Bellevue School District Dress Code states that clothing that implies intimidation or discrimination is prohibited. (https://bsd405.org/wp-content/pdf/policy/3224P.pdf)",,,,,,,,"16245 NE 24th Street Bellevue, WA 98008",47.6299336,-122.1247625,https://www.stophateinschools.org/school-details?recordId=,reccp2ux4Le6N8xXg,https://www.stophateinschools.org/school-details?recordId=reccp2ux4Le6N8xXg,6/10/2024 10:21am,Our Team,,
Issaquah High School,https://issaquahhigh.isd411.org/,Public,Issaquah,Issaquah School District,High,"33,45","Published Materials (Print or Online), Demonstration or Other Event","2023 - 10 -  27, 2023 - 11 -  29","Biased presentation shared at ""Consciousness and Racial Empowerment (CARE) club"", Student walkout.","2023Oct23-IssaquahHS-Care-Club-Presentation.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/tunpJ0XpxJD6AFJ217egfg/5H8wD_I4uAU07DayWoJqHAV01yEp2HUdIeifGYd7FaCYQEyn-Oz8WUVXGP_Y6NpI8c9wI6dBzlrD1B88v10XukBHYi1YGK7MmKuDyxJoJJTBKDm-6BcI7YiaCvhD8Nm1bOuGpaPXxRwQ0XMVzxjUw4uyFHHUYmmp8Q4DGKHmFLHkKm3laLm6QlEjkmePHTvr7dXlgVazqir9g3bhpbsuGg/WKkqPZmOF3TYHWaNRlcVlQaLSNJOXeqeGXF7R-g5zB8),2023Nov29-Issaquah.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/_GtYVravqGc0vpe4DMfaeQ/NaKNKNixPX_jJsBivb8st2WIJLnYyivIW_Tif9VxPhspjSxhkr7gLbVs1bwayI4WasMOd2XgNK7DTjjPBBuZWiNenG2QYADijOb-CUJsqabEt2hNLCkf9xea2wyBXUR8pfy1fff2DB_lNTBqbCgCIT4sYcgmSd9vuKqEMUb5Abw/-OeMfseBkxg-Xw1tFB5e0T5EJPumm_h5iW04RGIG8AI)",,,,,,,"700 2nd Avenue SE Issaquah, WA 98027",47.5225141,-122.0303522,https://www.stophateinschools.org/school-details?recordId=,recktIsR055gos1sz,https://www.stophateinschools.org/school-details?recordId=recktIsR055gos1sz,5/24/2024 3:49pm,Our Team,,
Jane Addams Middle School,https://addamsms.seattleschools.org/,Public,Seattle,Seattle Public Schools,Middle,89,Graffiti or Vandalism,2024 - 04 -  05,"""Free Palestine!"" graffiti.",,,,,,,,"11051 34th Ave. NE
Seattle, WA 98125",47.710453,-122.2932309,https://www.stophateinschools.org/school-details?recordId=,recdh2gVbyUaQetfA,https://www.stophateinschools.org/school-details?recordId=recdh2gVbyUaQetfA,5/24/2024 3:49pm,Our Team,,
Kamiak High School,https://www.mukilteoschools.org/ka,Public,Mukilteo,Mukilteo School District,High,35,Graffiti or Vandalism,2023 - 11 -  3,A swastika was formed with zip ties and left at a high school.,,,,,,,,"10801 Harbour Pointe Blvd., Mukilteo, WA 98275",47.9012875,-122.3052197,https://www.stophateinschools.org/school-details?recordId=,rec01hTAsrjW3Xu56,https://www.stophateinschools.org/school-details?recordId=rec01hTAsrjW3Xu56,5/24/2024 3:49pm,Our Team,,
Kellogg Middle School,https://kellogg.ssd412.org/,Public,Shoreline,Shoreline Public Schools,Middle,"81,86,88,104","Published Materials (Print or Online), Erasure or Silencing, Teacher Issue, Erasure or Silencing, Bullying or Harassment","2024 - 05 -  06, 2024 - 04 -  17, 2024 - 05 -  07, 2024 - 05 -  null","In the midst of Jewish American Heritage Month, the school displayed a poster listing Middle East countries where Arabic is spoken. Arabic is spoken in Israel but was not included on the list. The poster was put up in the hallway on or around April 30th, perhaps in association with Arab American Heritage Month., A teacher showed a class a list of topics that were discussed at the Washington Education Association representative assembly. The teacher shared that the teacher association wants money to support a “ceasefire in Gaza” without mention of release of Israeli hostages or removal of Hamas (a terrorist organization) from power. Parents filed a complaint with OCR.Seattle@ed.gov., A Jewish student reported a group of students discussing Judaism and describing it as ""a copy cat religion that copied from Christianity and the Muslim religion with nothing original"" and that was ""only around because of Jesus Christ."", Jewish student routinely called a ""kike"" in school hallways.",2024May-Kellogg-Middle-School.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/69Eo2YmkB3p8HUqaZulYew/pWCiVb8Lo6w0NuhxhWum1wxdqdyUVIDIqlzkJw4eMTmWvN41nq5oM40rDDFPBysE78j8TgEbe9EnpB67MUWRfMrhv7oVC5LJvtHvkqIJoe7MonNZskPAbRtRhRNIrk7qK_OcEtgnHdeWIvKz0795T0VGCeh7WLb-6dP8d5geV03t0M4DYA-LYZwfYsba0PQi/i9gf4wFxkWFWa59ycRrCLi9v2swcwakQZZA61jmNJ1U),,,,,,,16045 25th Ave. NE Shoreline WA 98155,47.7457409,-122.305743,https://www.stophateinschools.org/school-details?recordId=,recPZQs7wYxCCy9Gg,https://www.stophateinschools.org/school-details?recordId=recPZQs7wYxCCy9Gg,8/18/2024 2:02pm,Our Team,,
Lake Washington High School,https://lwhs.lwsd.org/,Public,Lake Washington,Lake Washington School District,High,"5,41","Demonstration or Other Event, Teacher Issue","2023 -  -  null, 2023 - 11 -  16","Student walkout and demonstration during school hours; people covered up with Keffiyehs (making it hard to tell if they were all students) and held posters saying Israel is committing “genocide,” and other propaganda., History teacher gave an antisemitic lecture to his students, was very much pro-Hamas and anti-Israel.  An Israeli student was present.",,,,,,,,"12033 N.E. 80th ST., Kirkland, WA 98033",47.6725703,-122.1838503,https://www.stophateinschools.org/school-details?recordId=,reccvaZCjcgq669jE,https://www.stophateinschools.org/school-details?recordId=reccvaZCjcgq669jE,5/24/2024 3:49pm,Our Team,,
Lakeside School,https://www.lakesideschool.org/,Private,Independent,,"Middle,High","61,70","Published Materials (Print or Online), School Curriculum","2024 - 02 -  14, 2024 - 03 -  26","Flyers posted in upper school., A middle school social studies class discussion on nationalism featured a slide (see attachment) with a historically inaccurate map of the Middle East. Parents report an undercurrent of antisemitism in the school's curriculum choices.","2024Feb15-Lakeside-SchoolLetter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/AIfiAlehlyQtXHH-RJI_Pw/56flsvu8YcoVC9kfZxVAWQ8ugsIEyuxnkC8qS-a65h3yavNSez2AzrB1aXj-PzhUSfFRvgAmr4ZPUlqSJunUXkKmMNCoP8GAjJRDGY6xBntIgyA8zvGzKr4ictx-BRJCoRJYGXCPH7ehUkECW4Ld707cyXZTgz-KfGEXSHRZ7kJBShYI0xb0YpLmLIw8tXtA/ORWCESwrw0yd1O25GCJs0fvaZyXA7Nml7a4_4fKthDc),2024Feb-Lakeside.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/cw0Z6xCUlyG5GfTQnL6AJA/cOju6zOfYzKBlUhztdL_lNUdaEvlgH9HUqLVBOx4G_VcosxYycs1QnxRCWFmfpR-L_oQb9h8iiDlg5nNskYdEDQfniEQXJcDOr7fe6Oh07e2ewAO4o6cQvB5uK1g8ePYKlslr3ERCs4Z8rA7dSt_96sfKyTw4hT8GEF3516B9C8/kuR5-osevoxUQw1na_vGfgzBusdL7kEtn2oHReFOHoc),2024Mar26-LakesideSchool.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/hGd9xfqtNPpR4fvUqOolqw/zqazDF7Ad7PBUPYgnjLr7jGUb1HhLD5_PJXmD7vM5K7yg3vkKhZHfc0m17ow913JOZ7z3in96cZjT7hSTs_Qe75SDeJTgUhyhU9OYjxI-rcG1smj43-WRbZuQhtcyUqfk2eJ_fe6VPLXTVslUkTIw77JyxpC2ejUmy1ySXwFg-0MyIta1ZKjjCQa14so-iSP/3s8iDPGJpcz1J8yUPB4Adg-_xkv2l-Thas86y6_qyeY)",,,,,,,"14050 1st Avenue NE, Seattle, WA 98125",47.7313347,-122.3304043,https://www.stophateinschools.org/school-details?recordId=,recBq3nkBhaDPjvS9,https://www.stophateinschools.org/school-details?recordId=recBq3nkBhaDPjvS9,5/24/2024 3:49pm,Our Team,,
Lawton Elementary School,https://lawtones.seattleschools.org/,,,,,,,,,,,,,,,,,,,https://www.stophateinschools.org/school-details?recordId=,recc8iBJwKUgeFJrn,https://www.stophateinschools.org/school-details?recordId=recc8iBJwKUgeFJrn,5/24/2024 3:49pm,Our Team,,
Lincoln High School,https://lincolnhs.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,"12,105","School Administration, Published Materials (Print or Online)","2023 - 03 -  13, 2024 - 03 -  01","Principal forbid Jewish students from participating in a multicultural week to promote cultural visibility. Principal changed decision., A student hung an anti-Israel poster on a school wall. A parent complained to the principal. The principal responded that posters need to be approved and this one was not. The poster was removed after the complaint. ",2024Mar01-LincolnHS-Poster.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/QsNR7NyhwPmpmqbBRmfqpQ/-3X2Br9L4MGCvqv5QUaXydmPl7wna0subpoKS8STWvLzrbTaXqfBueI8aUGr4wcDh93ZQFxkXkcVAqvs9vat24FjFp2dSqHXePe37SK1cefqtIdtLLwbyyWeG4ULQPM6bE8M5JZc3Erl32ilJo6qwdbKfrcOPVRw-VZH8zXkxZTeUsw-NWlPN1BsogQ2ER9d/UiVduP0os4ziU20-RJmccfrN713saKHoLzUQUCpkLSE),,,,,,,"4400 Interlake Ave. N, Seattle, WA 98103",47.6597342,-122.340261,https://www.stophateinschools.org/school-details?recordId=,recSEtgeaON5DhMpX,https://www.stophateinschools.org/school-details?recordId=recSEtgeaON5DhMpX,8/18/2024 2:06pm,Our Team,,
Margaret Mead Elementary School,https://mead.lwsd.org/,Public,Lake Washington,Lake Washington School District,Elementary,50,Bullying or Harassment,2023 - 12 -  12,Student repeatedly told another student who is Jewish that he supports Hamas and believes all Jews should be exterminated.,,,,,,,,"1725 216th Ave N.E., Sammamish, WA 98074",47.6249887,-122.0561132,https://www.stophateinschools.org/school-details?recordId=,recIswKgB4UffPpQ8,https://www.stophateinschools.org/school-details?recordId=recIswKgB4UffPpQ8,5/24/2024 3:49pm,Our Team,,
Mariner High School,https://www.mukilteoschools.org/ma,Public,Mukilteo,Mukilteo School District,High,"25,64",Teacher Issue,"2023 - 10 -  null, 2024 - 03 -  12","Teacher sent email to a co-worker encouraging support for an extremist organization that denies Hamas atrocities in Israel on October 7., A high school teacher reported posting antisemitic memes on her public social media accounts and raising funds for a radical Palestinian cleric who denied the Hamas atrocities on October 7. (Related to October 2023 incident #25.)",,,,,,,,"200 120th Street SW, Everett, WA 98204",47.8874002,-122.2386855,https://www.stophateinschools.org/school-details?recordId=,recGr9kelLfsS55re,https://www.stophateinschools.org/school-details?recordId=recGr9kelLfsS55re,5/24/2024 3:49pm,Our Team,,
