District-Name,District-Logo,District-URL,District-Twitter,District-Facebook,District-Phone,Superintendent-Name,Superintendent-Email,CivilRights-URL,CivilRights-Contact,CivilRights-Email,HIB-URL,HIB-Form,HIB-Contact,HIB-Email,Board-URL,School-Table,Name (from School-Table),School-Specific-URL (from School-Table),Documents,Last Modified,Last Modified By,Letters,Letters 2,Incident-Table,Incident-Reports-URL,Query-String,Add-HTML,All-District-Incidents-URL,District-Details-URL,District-Record-ID,District-Details-Page-URL
Lake Washington School District,lake-washington-school-district.png (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/kV6pHY4y28aejRKQIjdA6g/2IqucfPtCx1B-u8FOOQdQV4lGsv7WNTSWdxR1_zGesvjWP0tH7-ta9R3D2wr6WtLJoBtYXJEdDh8ABueL7mF5K3Oh-E1WzryVjIwb0MIxCHqts1-s0-P_lVkruZMHDOIdDLNqw4aDaPfS4O1ocRlo_qNQ12vywY3i3l2jG1f52A/O7LD55allb1LuvGNbl2prMTOKOvKSGl9V4POF2Ze9Ik),https://lwsd.org,https://twitter.com/LakeWashSchools,https://www.facebook.com/LakeWashingtonSchools,(425) 936-1257,Dr. Jon Holmen,superintendent@lwsd.org ,https://go.boarddocs.com/wa/lwsd/Board.nsf/goto?open&id=CH52K70283CD,,civilrights@lwsd.org,https://www.lwsd.org/programs-and-services/student-services/preventing-bulling-and-harassment-a-guide-for-parents,https://go.boarddocs.com/wa/lwsd/Board.nsf/files/BT3PWF66991B/$file/3207F%20-%20Reporting%20Form%20Prohibition%20Harassment.pdf,,,https://www.lwsd.org/board/about-the-board,"Eastlake High School,Lake Washington High School,Margaret Mead Elementary School,Redmond High School,Finn Hill Middle School","Eastlake High School, Lake Washington High School, Margaret Mead Elementary School, Redmond High School, Finn Hill Middle School","https://www.stophateinschools.org/school-details?recordId=recmZ0zTjiXTu3Zuz, https://www.stophateinschools.org/school-details?recordId=reccvaZCjcgq669jE, https://www.stophateinschools.org/school-details?recordId=recIswKgB4UffPpQ8, https://www.stophateinschools.org/school-details?recordId=recawDuCW5py4Gb1E, https://www.stophateinschools.org/school-details?recordId=recI2USdouFcK0GhF",2024Apr24-Lake-Washington-School-District-Letter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/AnkAZlps0hJ1xqtrOqaxHQ/nz9BBS8I5VybkWbmPEeGbSI9u-f6pxsMWNMlQTRLfr75Za7oEDHAaBNanMKgUIf-9lNa-mu9tWf2UTjQ0Gp-l8tnymp16HNSnPPOH221VXY8vtHcygFuvKWYqBBZJnukvCXRCUt6QSFhcDgVqtOFKPMJf2uU2a8FSDoyzpvTV00MOW4I7SQ982LiAgqIqGmwLsVxFL9uRY8lpolsUaKVqA/bXRLwGnuvL91IvNlOi9cDWxRGg3zpmPqgRffT-4RmnQ),8/18/2024 5:19pm,Our Team,,15,"50,49,41,5,1,92,93,106,107,108",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Lake%20Washington%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Lake%20Washington%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recOJSTw52MQ3miHN,https://www.stophateinschools.org/school-district-details?recordId=recOJSTw52MQ3miHN
Mercer Island School District,mercer-island-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/hYMGDi31XvlbG5ulWwISnA/XruOigJv-eMACap09k2BpTLIUMPYkuIsDI9sQyFp0t3d-sz23jVJCVJDYStLhXM7Pkr0dmSFhCHKBxjTvpThhextTXEt2uYoz0ZltP44-WJhajkEhfmdlfivNbRQ5KQKvZ7uD308DYYJVYpnrlt7VP8V4uIVK4JqxxkMePktZzc/INvNLOGr0nkLfzV6ZTvKLc_fH3MLhFsBP_AsFhJtMMA),https://www.mercerislandschools.org/,https://twitter.com/mercerislandsd,https://www.facebook.com/mercerislandschooldistrict,(206) 236-3330,Dr. Fred Rundle,fred.rundle@mercerislandschools.org,https://go.boarddocs.com/wa/misd/Board.nsf/goto?open&id=9U434G050B83,,,https://www.mercerislandschools.org/connect/harassment-intimidation-and-bullying-hib-resources-and-reporting,,Erin Battersby,erin.battersby@mercerislandschools.org,https://www.mercerislandschools.org/school-board/school-board-information,"Mercer Island High School,Northwood Elementary School","Mercer Island High School, Northwood Elementary School","https://www.stophateinschools.org/school-details?recordId=rec4jDAFvAZIkKbl4, https://www.stophateinschools.org/school-details?recordId=recoowoyiFKMqyM1w",,5/30/2024 9:04am,Our Team,,16,"84,97,98",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Mercer%20Island%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Mercer%20Island%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,rec2R6oCHpBc7pLcm,https://www.stophateinschools.org/school-district-details?recordId=rec2R6oCHpBc7pLcm
Mukilteo School District,mukilteo-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/vN0TYByP9i_WJljUD2t9vg/gopIOd134ClQqG6Q-JSGYSVKtv7l0peqfBRU4IKUvd9KFgV7nEC1IjVOBDJGCUi57SOTfWo6hXy4H2o55xw0kGx6AcACWGk6xQRm1tzzYtPuDorvzIbx_KvUGDjXFqDJU6DljGfkV3yLTmjp5yCxBzMAgUC3Eu7ge79nkPYikD4H8Ar-S_JjAm-DdY7fHlH3/gDYMFVK1dEa5tv7CiaPtCLHywfkprxCnc-_oqygY0Mg),https://www.mukilteoschools.org/,https://twitter.com/mukilteoschools,https://www.facebook.com/mukilteoschools,(425) 356-1274,Dr. Alison Brynelson,BrynelsonAX@mukilteo.wednet.edu,https://www.mukilteoschools.org/Page/15037,,,https://www.mukilteoschools.org/Page/1129,https://www.mukilteoschools.org/site/handlers/filedownload.ashx?moduleinstanceid=7957&dataid=49987&FileName=HIB%20Incident%20Reporting%20Form%2012.2023%20-%20Fillable.pdf,Beth VanderVeen,VanderveenBC@mukilteo.wednet.edu,https://www.mukilteoschools.org/domain/53,"Mariner High School,Kamiak High School","Mariner High School, Kamiak High School","https://www.stophateinschools.org/school-details?recordId=recGr9kelLfsS55re, https://www.stophateinschools.org/school-details?recordId=rec01hTAsrjW3Xu56",,5/30/2024 9:04am,Our Team,,17,"64,35,25",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Mukilteo%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Mukilteo%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,rec76DdtSNAduCfum,https://www.stophateinschools.org/school-district-details?recordId=rec76DdtSNAduCfum
Northshore School District,northshore-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/Hn7TXJFqdPllsTVG0enRxg/mSPMDp07CDLclELRU2e0JozcDbrofDHNttM1Kj16CUk1QE9ZomxblJ-O3N-CdTkf8GtUGNiJVME9tMIVnmmIVvoFlsPRfZHMvUFE-mVepLtT7LxsAc_ANZ3A0Jo8bn9orBrRYZDwzMs67Y2xtzA9AAx3pn2eO_xeMEbDmUFnu40fUfo0eiPKI_omG7cf5VNi/xAKaSHpSwxd4Mg9zYRp50_0-YmnKi9waVgLljxDtfrg),https://www.nsd.org/,https://twitter.com/northshore_SD,https://www.facebook.com/NorthshoreSchoolDistrict/,(425) 408-6000,Michael Tolley,superintendent@nsd.org,,,,https://www.nsd.org/our-district/departments/student-services/harassment-intimidation-and-bullying,https://resources.finalsite.net/images/v1524223836/nsdorg/bgeixugxhg5adivyt6nt/HIBIncidentReportingForm.pdf,Rick Ferrell,rferrell@nsd.org,https://www.nsd.org/our-district/leadership/school-board,Woodinville High School,Woodinville High School,https://www.stophateinschools.org/school-details?recordId=recvUXmjn7ME5vJp5,,5/30/2024 9:04am,Our Team,,22,80,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Northshore%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Northshore%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recAJFLFIBd143Oq5,https://www.stophateinschools.org/school-district-details?recordId=recAJFLFIBd143Oq5
Renton School District,renton-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/u6QbpeaLq_J0gbHmxOKMBg/mHmRmeWM7qXLYXeCrSut2KaMiLEPDHwzUZ34suPq1BeOjoWRuZuKox2okZtk-ZikWThLZay7LUlAiQXxxhP6bwun51yrc1F3Crdb-UkR7I7dNE-GiNRDqJYJbtPlGfDpjWuh_dsvFBsphosgpuEC4jpHHSqALLj95GkQAUQX__g/HMzCv9M0Zote_wYCqfjvztJx_fFdOFUc7oN8V4pMeVY),https://rentonschools.us,https://twitter.com/Renton_Schools,https://www.facebook.com/RentonSchoolDistrict403/,(425) 204-2300,Dr. Damien Pattenaude,damien.pattenaude@rentonschools.us,https://www.rentonschools.us/non-discrimination-policy1,Shannon Harvey,shannon.harvey@rentonschools.us,https://www.rentonschools.us/learning-and-teaching/student-support/hib,https://resources.finalsite.net/images/v1596150456/rentonschoolsus/odlw8ecph71oogago7mf/RSD_HIB_Reporting_Form.pdf,,,https://www.rentonschools.us/our-district/school-board,,,,,5/30/2024 9:04am,Our Team,,18,,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Renton%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Renton%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recRLKZDKbaayS3uQ,https://www.stophateinschools.org/school-district-details?recordId=recRLKZDKbaayS3uQ
Seattle Public Schools,seattle-public-schools.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/NDx5eZaTJOggZ3RBfzF59A/EAJiixXEDW5Kpv4HvJKW-aundkMMqPwrLllrrK6AvPsqu2h13QHjJnlZ_57Z2tY3eEftElyxJ1KR9hTdTnA-X0jNDnzv2gRhYz4hrlmYMjsvKyAWMtcpurMmgufIiUUBRBc9RGJxhufqKAO3_e0UhUQhmtLY9arKALsaYZrWGBU/fdCGnycg93JtzOmdjpX-e9hKmlmqez51zfQpHxbKFCM),https://seattleschools.org,https://twitter.com/seapubschools,https://www.facebook.com/SeattlePublicSchools,(206) 252-0000,Dr. Brent Jones,,https://www.seattleschools.org/about/official-notices/non-discrimination/,,oscr@seattleschools.org,https://www.seattleschools.org/departments/student-civil-rights/hib/,https://www.seattleschools.org/wp-content/uploads/2023/02/HIB-Incident-Reporting-English-ADA.pdf,,oscr@seattleschools.org,https://www.seattleschools.org/about/school-board/,"Franklin High School,Garfield High School,Lincoln High School,Nathan Hale High School,Roosevelt High School,Tops K-8,Chief Sealth,Ballard High School,Jane Addams Middle School,Robert Eaglestaff","Franklin High School, Garfield High School, Lincoln High School, Nathan Hale High School, Roosevelt High School, Tops K-8, Chief Sealth, Ballard High School, Jane Addams Middle School, Robert Eaglestaff","https://www.stophateinschools.org/school-details?recordId=reciGDbmbZJZVqosc, https://www.stophateinschools.org/school-details?recordId=recxAwcUeRnDZwdjC, https://www.stophateinschools.org/school-details?recordId=recSEtgeaON5DhMpX, https://www.stophateinschools.org/school-details?recordId=recMOKWqm2ADgHcCf, https://www.stophateinschools.org/school-details?recordId=recinsVKFxSZwKm6M, https://www.stophateinschools.org/school-details?recordId=rec16aZ4Qcas7eVLf, https://www.stophateinschools.org/school-details?recordId=recZb0bq6U7rJVpvs, https://www.stophateinschools.org/school-details?recordId=rec9bzEyMe9HKY9L6, https://www.stophateinschools.org/school-details?recordId=recdh2gVbyUaQetfA, https://www.stophateinschools.org/school-details?recordId=recj8k89FypMFYfPw",,8/22/2024 3:35pm,Josh Herst,,19,"83,82,79,78,76,75,74,71,69,68,65,38,9,6,4,39,51,12,89,90,94,105,112",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Seattle%20Public%20Schools,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Seattle%20Public%20Schools,https://www.stophateinschools.org/school-district-details?recordId=,recCZF95ZxjMGdF5R,https://www.stophateinschools.org/school-district-details?recordId=recCZF95ZxjMGdF5R
Shoreline Public Schools,shoreline-public-schools.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/Zwa38RJeiGjqZ1ZApE5e5Q/oBcuqVwTWvVBdPf3WRSYFCBKN1tNZpkL7hZ5FWjCxRvlDIFd6Ugf4sGKFe-JIk3lbOBRcq_lylgGOHIygKXKP062g_crw6gnnel8Tki1H9PXCZL7ExbijsOGvSDvMXAcaAc6sGQm5_r_OQfDHUJg2oKiHOffCIWYc3n3rBCAb4GrbhxkJ0nUV3apPH4gUrEa/mtD_DeYHm1w0XcPlU1OBByszj0D4ZMDBR0umS_-49Dc),https://www.ssd412.org/,,https://www.facebook.com/shorelineschools,(206) 393-6111,Dr. Susana Reyes,susana.reyes@ssd412.org,https://www.ssd412.org/departments/human-resources/safe-environments,,,https://www.ssd412.org/departments/human-resources/safe-environments,https://resources.finalsite.net/images/v1695673258/shorelineschoolsorg/ndzhahtgp3nn5cq7pe5k/HIBStudentShorelineSchoolDistrictreportform.pdf,Don Dalziel,don.dalziel@ssd412.org,https://www.ssd412.org/school-board,"Syre Elementary School,Kellogg Middle School","Syre Elementary School, Kellogg Middle School","https://www.stophateinschools.org/school-details?recordId=recYNw6k9efcsREe4, https://www.stophateinschools.org/school-details?recordId=recPZQs7wYxCCy9Gg",,8/18/2024 2:02pm,Our Team,,20,"86,81,48,88,104",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Shoreline%20Public%20Schools,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Shoreline%20Public%20Schools,https://www.stophateinschools.org/school-district-details?recordId=,recfMZqZaRaVTKreS,https://www.stophateinschools.org/school-district-details?recordId=recfMZqZaRaVTKreS
Snoqualmie Valley School District,snoqualmie-valley-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/lxnKlx2cWevsaFxglum1hg/GsxdoT7FstTpOwz-peXfEEy-o4V1-zjjcsE6GG9iQUHyDdcT3cjioA0Abl0VAUjPQ4z0WQvUakLEDOdc4JUr6camhkY-YDTneox4r0N5k_s3ltf-l-dGB-CT6ce5YycP8BXRgkjYS3a-nKfjcvfoKEfvz48F62rRG56s9-6SbhERYPdV27buJ3xOZF2QQiah/qwovqYRYOOifmPYioC0oIxX_wagzalvHHP8goyVALq4),https://www.svsd410.org/,,,,,,,,,,,,,,Chief Kanim Middle School,Chief Kanim Middle School,https://www.stophateinschools.org/school-details?recordId=recq3FFG0zxDvYHdN,,8/18/2024 6:12pm,Our Team,,,109,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Snoqualmie%20Valley%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Snoqualmie%20Valley%20School%20District,,rectZepXeqlFW2pls,rectZepXeqlFW2pls
Tacoma Public Schools,tacoma-public-schools.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/F8ltC1xU2As1b_uEQeg8jA/IdmIulo9lRAzjNAvHVQk1k2Ebll7sOVVkf4K8oi7_eQqs7vholxL55e6Nvkq3SRWaT3ZhtKNk1HlW4h0In1ST73CpK6E5VD6WQKc0kjE3Eb5xhAUfQ6OaEwHQR_Rho5In77AlVW-8214xZ5PpOug3aXjw7h2Aq_3xLnozWNgpaQ/A-SRvfrEJkeebnHue_VNSI4vq8-6QfLpfg2l6xb8WTg),https://www.tacomaschools.org/,,,,,,,,,,,,,,Hilltop Heritage Middle School,Hilltop Heritage Middle School,https://www.stophateinschools.org/school-details?recordId=recGTu6Fz6iacQB71,,8/18/2024 9:25pm,Our Team,,,111,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Tacoma%20Public%20Schools,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Tacoma%20Public%20Schools,,recXstaP0ZXbwYHOX,recXstaP0ZXbwYHOX
Walla Walla Public Schools,walla-walla-public-schools.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/JLxiJddvMRSE6PDSIUDh8g/iVE0T3VypWOIotTiKtG8cZSrFmxtkLpU8Dg1h0yzuKQQEKeakYH63E7lm8weese2FWg8Xb4BAg1g_YeXI5PSogzNQ7aT-T1NfU-t2hGQpTH_ErPbqTqmUL2aFAe42Q_IAGXg3v29SlwceKw3o28N6omFitspHKScrmvDnbLl_q6PFqXu-r_LgrSjzSjuKrWO/MBE3Oyb_H6u7ujLfaPDrZx2HyvoVeqHYNoR862Md2Wc),https://www.wwps.org/,https://twitter.com/wwschools,https://www.facebook.com/wwschools,(509) 527-3000,Dr. Wade Smith,,https://www.wwps.org/departments/hr/student-services-procedures/21-news/4450-3210-nondiscrimination-students,,,https://www.wwps.org/district/information/school-board/policies/series-3000/4231-board-policy-no-3207,,Chris Gardea,cgardea@wwps.org,https://www.wwps.org/district/information/school-board,Garrison Middle School,Garrison Middle School,https://www.stophateinschools.org/school-details?recordId=rec1zIHU5RkVESjz7,,5/30/2024 9:04am,Our Team,,21,62,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Walla%20Walla%20Public%20Schools,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Walla%20Walla%20Public%20Schools,https://www.stophateinschools.org/school-district-details?recordId=,rec043SuvANlEn8Pd,https://www.stophateinschools.org/school-district-details?recordId=rec043SuvANlEn8Pd
